spreadsheet,sqltable,sqlcolumn
primarycif,address,cif
jointline1address,address,line_1_address
jointline2address,address,line_2_address
jointline3address,address,line_3_address
jointcustomercityname,address,customer_city_name
jointpostalcode,address,postal_code
jointprovincestatecode,address,province_state_code
jointaddresscountrycode,address,address_country_code
jointlegalline1address,address,line_1_address_legal
jointlegalline2address,address,line_2_address_legal
jointlegalline3address,address,line_3_address_legal
jointlegalcustomercityname,address,customer_city_name_legal
jointlegalpostalcode,address,postal_code_legal
jointlegalprovincestatecode,address,province_state_code_legal
jointlegaladdresscountrycode,address,address_country_code_legal
accountstatusdesc,account,account_status_desc
accountnumber,account,account_number
productdesc,account,product_desc
accountopendate,account,account_open_date
jointcountryofresidencedesc,residence,country_of_residence_desc
canadapostaddressline1,residence,cp_address
canadapostcity,residence,cp_city
canadapostpostalcode,residence,cp_postal_code
canadapostprovince,residence,cp_province
canadapostcountry,residence,cp_country
address_deficiency_comments,residence,address_def_comm
brokernumber,broker,broker_number
brokername,broker,broker_name
loandivisioncode,loan_lending,loan_division_code
loandivisiondesc,loan_lending,loan_division_desc
lendingprogramcode,loan_lending,lending_program_code
lendingprogramdesc,loan_lending,lending_program_desc
acctdaonumber,dao,acct_dao_number
acctdaofullname,dao,acct_dao_fullname
accountdaobranchdesc,dao,account_dao_branch_desc
account_daodept,dao,account_dao_dept
jointcustdaonumber,dao,cust_dao_number
jointcustdaofullname,dao,cust_dao_fullname
jointcustdaobranchdesc,dao,cust_dao_branch_desc
custdaodept,dao,cust_dao_dept
efg_dao,dao,efg_dao
address_review,review,address_review
physical_date_reviewed,review,physical_date_review
physical_reviewed_by,review,physical_reviewed_by
physical_qa_by,review,physical_qa_by
physical_qa_note,review,physical_qa_note
electronic_qa_by,review,electronic_qa_by
electronic_qa_note,review,electronic_qa_note
electronic_qa_rating,review,electronic_qa_rating
jointnoccode,noc,noc_code
jointnocdesc,noc,noc_desc
noc_deficiency_comments,noc,noc_def_comm
jointcustomeroccupationdesc,occupation,customer_occupation_desc
jointcustomeremploymentstatusdesc,occupation,customer_employment_status_desc
occupation_deficiency_comments,occupation,occupation_def_comm
employerbusiness,employer,customer_employer_business
jointcustomeremployername,employer,customer_employer_name
jointcustomeremployeraddress,employer,customer_employer_address
employer_deficiency_comments,employer,employer_def_comm
employers_name_personal_loan_only,employer,customer_employer_name_loan
employers_address_personal_loan_only,employer,customer_employer_address_loan
jointpefpflag,pefp_pep,pefp_flag
jointpepflag,pefp_pep,pep_flag
pefppep_deficiency_comments,pefp_pep,pefp_pep_def_comm
joint_cif_count,metrics,cif_count
law_firm_cif_count,metrics,cif_itf_count
joint_account_count,metrics,account_count
itf_account_count,metrics,itf_account_count
countid1digits,identification,count_id_digit
jointface_to_face1,identification,face_2_face
jointagentaffiliatevalidation1,identification,agent_affiliate_validation
jointmatchingcriteria1,identification,matching_criteria
jointsourceofinformation1,identification,source_of_information
jointcustomeridentification1number,identification,customer_id_number
jointcustomeridentification1typedesc,identification,customer_id_number_type_desc
jointexpirydate1,identification,expiry_date
jointcustomeridentification1countryofissuedesc,identification,customer_identification_country_of_issue_desc
jointcustomeridentification1placeofissuedesc,identification,customer_identification_place_of_issue_desc
jointcwbidentify1,identification,cwb_identify
jointemployeeverificationdate1,identification,employee_verification_date
jointagentaffiliateentity1,identification,agent_affiliate_entity
jointagentaffiliatename1,identification,agent_affiliate_name
jointagentaffiliateverificationdate1,identification,agent_affiliate_verification_date
countid2digits,identification,count_id_digit2
joint_face_to_face2,identification,face_2_face2
jointagentaffiliatevalidation2,identification,agent_affiliate_validation2
jointmatchingcriteria2,identification,matching_criteria2
jointsourceofinformation2,identification,source_of_information2
jointcustomeridentification2number,identification,customer_id_number2
jointcustomeridentification2typedesc,identification,customer_id_number_type_desc2
jointexpirydate2,identification,expiry_date2
jointcustomeridentification2countryofissuedesc,identification,customer_identification_country_of_issue_desc2
jointcustomeridentification2placeofissuedesc,identification,customer_identification_place_of_issue_desc2
jointcwbidentify2,identification,cwb_identify2
jointemployeeverificationdate2,identification,employee_verification_date2
jointagentaffiliateentity2,identification,agent_affiliate_entity2
jointagentaffiliatename2,identification,agent_affiliate_name2
jointagentaffiliateverificationdate2,identification,agent_affiliate_verification_date2
id_deficiency_comments,identification,id_deficiency_comments
dob_review,joint_review,dob_review
incorrect_signing_authority,joint_review,incorrect_signing_authority
role_review,joint_review,role_review
physical_deficient,joint_review,physical_deficient
id_review,joint_review,id_review
noc_review,joint_review,noc_r
occupation_review,joint_review,occupation_review
employers_name_personal_loan_only,joint_review,employers_name_personal_loan
employers_address_personal_loan_only,joint_review,employers_address_personal_loan
pefp_review,joint_review,pefp_review
pep_review,joint_review,pep_review
optimum_physical_ids,joint_review,optimum_physical_ids
physical_reviewed,joint_review,physical_review
jointcustomerstatusdesc,joint,joint_customer_status_desc
jointcif,joint,joint_cif
jointcustomername,joint,joint_customer_name
jointtypedesc,joint,joint_type_desc
type_deficiency_comments,joint,type_def_comm
multiple_cifs,joint,multiple_cifs
selected_for_role_review,joint,selected_for_role_review
cif_relation,joint,cif_relation
personal_cif_role,joint,personal_cif_role
correct_role,joint,correct_role
highest_aml_requirement_role,joint,highest_aml_requirement_role
dob_deficiency_comments,joint,dob_def_comm
role_deficiency_comments,joint,role_def_comm
jointofficephone,joint,joint_office_phone
after_december_17,joint,after_december_17
youth,joint,youth
sin,joint,sin
primarycif,customer,cif
primarycustomername,customer,customer_name
jointalternatename,customer,alternate_name
jointtradename,customer,trade_name
jointcustomerbirthdate,customer,customer_birth_date
jointdeceaseddate,customer,deceased_date
jointcustomeropendate,customer,customer_open_date
jointcustomerindustrycode,customer,customer_industry_code
jointcustomerindustrydesc,customer,customer_industry_desc
jointcustomersectordesc,customer,customer_sector_desc
businessdate,customer,calendar_date
quarter,customer,quarter
posting_restriction,customer,posting_restriction
efg_flag,customer,efg_flag
rolling_gic,customer,rolling_gic
exempt_deceased,customer,exempect_deceased
accountbranchdesc,branch,branch_name
regionname,branch,region_name
